Global Variable Usage Frequency (All Globals)
================================================================================

DAT_10017578         :    3 uses
DAT_100175f8         :    3 uses
DAT_10017604         :    3 uses
DAT_100175a0         :    3 uses
DAT_100175e0         :    3 uses
DAT_100175ec         :    3 uses
DAT_100175e8         :    3 uses
DAT_10017510         :    3 uses
DAT_10017560         :    3 uses
DAT_10016b34         :    3 uses
DAT_10016b38         :    3 uses
DAT_10016b40         :    3 uses
DAT_10016b44         :    3 uses
DAT_10016b4c         :    3 uses
DAT_10016b50         :    3 uses
DAT_10016bd3         :    3 uses
DAT_10016bd6         :    3 uses
DAT_10016bd9         :    3 uses
DAT_10016c00         :    3 uses
DAT_10016c04         :    3 uses
DAT_10006e64         :    3 uses
DAT_10006ebc         :    3 uses
DAT_10017608         :    3 uses
DAT_1001760c         :    3 uses
DAT_10006f04         :    3 uses
DAT_10006f10         :    3 uses
DAT_10006f18         :    3 uses
DAT_10006f20         :    3 uses
DAT_10006f28         :    3 uses
DAT_10006f30         :    3 uses
DAT_10006f38         :    3 uses
DAT_10017514         :    3 uses
DAT_1001751c         :    3 uses
DAT_10007904         :    3 uses
DAT_10017491         :    3 uses
DAT_10016e24         :    3 uses
DAT_100094f0         :    3 uses
DAT_10016e50         :    3 uses
DAT_10016e88         :    3 uses
DAT_10009648         :    3 uses
DAT_1000964c         :    3 uses
DAT_10017010         :    3 uses
DAT_10009c80         :    3 uses
DAT_10009f40         :    3 uses
DAT_10017658         :    2 uses
DAT_10016638         :    2 uses
DAT_1000a458         :    2 uses
DAT_1000a460         :    2 uses
DAT_1001663c         :    2 uses
DAT_10000160         :    2 uses
DAT_10000164         :    2 uses
DAT_10000168         :    2 uses
DAT_1000016c         :    2 uses
DAT_100165b4         :    2 uses
DAT_100165cc         :    2 uses
DAT_100165dc         :    2 uses
DAT_100165ec         :    2 uses
DAT_100165e0         :    2 uses
DAT_10017610         :    2 uses
DAT_10017492         :    2 uses
DAT_100165f4         :    2 uses
DAT_100165f8         :    2 uses
DAT_10016608         :    2 uses
DAT_1001660a         :    2 uses
DAT_1001660c         :    2 uses
DAT_1001660d         :    2 uses
DAT_1001660e         :    2 uses
DAT_1001661c         :    2 uses
DAT_10016620         :    2 uses
DAT_100174e8         :    2 uses
DAT_10016618         :    2 uses
DAT_10016610         :    2 uses
DAT_10016624         :    2 uses
DAT_10016628         :    2 uses
DAT_100174f4         :    2 uses
DAT_10016710         :    2 uses
DAT_100001fc         :    2 uses
DAT_100174f8         :    2 uses
DAT_1001758c         :    2 uses
DAT_1001750c         :    2 uses
DAT_10017497         :    2 uses
DAT_10016b20         :    2 uses
DAT_10016698         :    2 uses
DAT_100166c0         :    2 uses
DAT_100166c4         :    2 uses
DAT_100166c6         :    2 uses
DAT_100166c8         :    2 uses
DAT_100166ca         :    2 uses
DAT_100166d0         :    2 uses
DAT_100166d4         :    2 uses
DAT_100166d8         :    2 uses
DAT_100166dc         :    2 uses
DAT_100166de         :    2 uses
DAT_100166e0         :    2 uses
DAT_100166f3         :    2 uses
DAT_100166e8         :    2 uses
DAT_100166ee         :    2 uses
DAT_100166f0         :    2 uses
DAT_100166f2         :    2 uses
DAT_10016708         :    2 uses
